hostsp,hostid,AA,drift,driftadj,diff,finalvalue,samplestd,date_collected,year,lag0_temp,lag1_temp,lag2_temp,lag3_temp,lag12_temp,decade,tl,sl,location,lat,long,comments
hake,005211-1_41,ala,1.073401797,23.47393154,-0.110166667,23.5840982,0.413808329,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,val,0.430269576,24.61673042,0.392166667,24.22456376,2.188158358,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,leu,0.246290116,23.04970988,-0.3635,23.41320988,0.371931445,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,ile,0.560564827,24.37310184,1.193666667,23.17943517,0.451364967,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,nle,-2.516642959,17.80130963,-1.514,19.31530963,6.109181806,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,thr,1.056816431,-12.3624831,-0.8385,-11.5239831,2.092776704,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,asp,2.454582798,16.9664172,2.14,14.8264172,0.65116127,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,ser,-2.520410783,16.55207745,-1.649333333,18.20141078,2.377312418,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,glu,0.456225931,24.17744074,0.535,23.64244074,0.237213687,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,005211-1_41,phe,0.306521181,10.81747882,0.057833333,10.75964549,5.379028816,13-Nov-41,1941,9,9.9,10.6,11,NA,1940,359,341,Island Saratoga Passage near Watrak Point,48.163077,-122.540756,
hake,045377-2_86,ala,0.090315789,19.22935088,-0.466,19.69535088,0.304276738,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,val,-0.714032092,21.37669876,-0.053166667,21.42986543,0.424115943,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,leu,-0.933396662,19.09239666,-0.767,19.85939666,0.118697093,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,ile,-0.206214377,20.91588104,0.934166667,19.98171438,0.276785717,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,nle,-2.723708601,18.9757086,-2.433166667,21.40887527,0.202672149,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,thr,-0.284865212,-7.550134788,-1.586,-5.964134788,0.588910859,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,ser,-1.306808729,17.14280873,-2.365666667,19.5084754,2.622190115,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,glu,-1.192478819,22.07147882,0.0335,22.03797882,0.406874674,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045377-2_86,phe,-0.277155327,7.126821994,0.230666667,6.896155327,2.9134094,3-Jun-86,1986,11,9.4,8.4,8,10.6,1980,167,143,"Kitsap Puget Sound, Dabob Bay Just East of Whitney Point 47.7500, -122.8333 50-0m",47.75,-122.8333,
hake,045241-3_86,ala,1.070115533,20.5522178,-0.346833333,20.89905113,0.228967974,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,val,0.432657253,21.52334275,0.321,21.20234275,2.065011622,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,leu,0.292272144,19.29672786,-0.027666667,19.32439452,0.307720653,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,ile,0.960949936,19.91971673,1.102833333,18.8168834,0.182571447,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,nle,-2.000308087,16.62664142,-1.75,18.37664142,0.384632725,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,pro,0.613658537,22.85200813,2.676666667,20.17534146,1.912558583,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
hake,045241-3_86,thr,-0.146161746,-8.603504921,-0.804166667,-7.799338254,2.514269742,21-Oct-86,1986,9.8,10.8,11.8,10.9,9.6,1980,178,152,"Kitsap Puget Sound, Dabob Bay, 47.8000, -122.8000 25-0m",47.8,-122.8,
