hostsp,hostid,AA,drift,driftadj,diff,finalvalue,samplestd,date_collected,year,lag0_temp,lag1_temp,lag2_temp,lag3_temp,lag12_temp,decade,tl,sl,location,lat,long,comments
herring,005105-1_35,glu,-0.127609756,22.67427642,0.563166667,22.11110976,0.119976387,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,phe,-0.282783055,5.731449722,0.384,5.347449722,0.500437142,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,ala,NA,NA,NA,NA,0.121697713,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,val,NA,NA,NA,NA,1.370988451,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,leu,NA,NA,NA,NA,0.393519165,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,ile,NA,NA,NA,NA,0.275806091,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,nle,NA,NA,NA,NA,0.328679682,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,thr,NA,NA,NA,NA,0.722243957,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,asp,NA,NA,NA,NA,2.377381192,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-1_35,ser,NA,NA,NA,NA,2.377427251,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,101,86,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-2_35,glu,-0.071780488,23.98444715,0.563166667,23.42128049,0.222738262,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,104,85,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-2_35,phe,-0.159065469,6.003732135,0.384,5.619732135,0.223128513,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,104,85,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-2_35,ala,NA,NA,NA,NA,0.352546924,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,104,85,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-2_35,val,NA,NA,NA,NA,0.806407465,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,104,85,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
herring,005105-2_35,leu,NA,NA,NA,NA,2.45955435,2-Sep-35,1935,10.7,10.5,10.5,10.1,10.7,1930,104,85,"Island Utsalady Beach, Camano Is.",48.25888483,-122.485225,
